Title,Author,Pages,Date Started,Date Finished
italic('Time Travel'),'James Gleick',353,1/1/17,1/27/17
italic('The Road'),'Cormac McCarthy',324,1/28/17,3/10/17
italic('New York 2140'),'Kim Stanley Robinson',624,3/17/17,6/4/17
italic('The Collapsing Empire'),'John Scalzi',334,6/7/17,6/17/17
italic('The Chronicles of DODO'),'Neal Stephenson',768,6/17/17,7/29/17
italic('After On'),'Rob Reid',577,8/9/17,11/13/17
italic('Do Androids Dream of Electric Sheep'),'Philip K. Dick',246,11/14/17,11/29/17
italic('Gone Tomorrow (Jack Reacher #13)'),'Lee Child',434,11/30/17,12/11/17
italic('Artemis'),'Andy Weir',322,12/12/17,12/16/17
italic('Old Man\'s War'),'John Scalzi',332,12/17/17,12/23/17
